2026-03-25 21:40:20 | INFO | CI | === RUN START ===
2026-03-25 21:40:20 | INFO | CI | project=MODULE 3: CORPUS EXPLORATION
2026-03-25 21:40:20 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-25 21:40:20 | INFO | CI | python=3.14.0
2026-03-25 21:40:20 | INFO | CI | os=Windows 11
2026-03-25 21:40:20 | INFO | CI | shell=powershell
2026-03-25 21:40:20 | INFO | CI | cwd=.
2026-03-25 21:40:20 | INFO | CI | github_actions=False
2026-03-25 21:40:20 | INFO | CI | START script.....
2026-03-25 21:40:20 | INFO | CI | ROOT_PATH = .
2026-03-25 21:40:20 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-25 21:40:20 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-25 21:40:20 | INFO | CI | Logger configured.
2026-03-25 21:40:26 | INFO | CI | ========================
2026-03-25 21:40:26 | INFO | CI | Pipeline executed successfully!
2026-03-25 21:40:26 | INFO | CI | ========================
2026-03-25 21:40:26 | INFO | CI | END main()
2026-03-25 21:41:32 | INFO | CI | === RUN START ===
2026-03-25 21:41:32 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-25 21:41:32 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-25 21:41:32 | INFO | CI | python=3.14.0
2026-03-25 21:41:32 | INFO | CI | os=Windows 11
2026-03-25 21:41:32 | INFO | CI | shell=powershell
2026-03-25 21:41:32 | INFO | CI | cwd=notebooks
2026-03-25 21:41:32 | INFO | CI | github_actions=False
2026-03-25 21:41:32 | INFO | CI | ROOT_PATH = .
2026-03-25 21:41:32 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-25 21:41:32 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-25 21:41:32 | INFO | CI | Logger configured.
2026-03-25 21:41:33 | INFO | CI | ========================
2026-03-25 21:41:33 | INFO | CI | Notebook executed successfully!
2026-03-25 21:41:33 | INFO | CI | ========================
2026-03-27 21:11:18 | INFO | CI | === RUN START ===
2026-03-27 21:11:18 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-27 21:11:18 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-27 21:11:18 | INFO | CI | python=3.14.0
2026-03-27 21:11:18 | INFO | CI | os=Windows 11
2026-03-27 21:11:18 | INFO | CI | shell=powershell
2026-03-27 21:11:18 | INFO | CI | cwd=notebooks
2026-03-27 21:11:18 | INFO | CI | github_actions=False
2026-03-27 21:11:18 | INFO | CI | ROOT_PATH = .
2026-03-27 21:11:18 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-27 21:11:18 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-27 21:11:18 | INFO | CI | Logger configured.
2026-03-27 21:11:18 | INFO | CI | ========================
2026-03-27 21:11:18 | INFO | CI | Notebook executed successfully!
2026-03-27 21:11:18 | INFO | CI | ========================
